phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,3700,50000,0.0001,-3.1944684982299805,0.271267294883728,0.271267294883728,-3.1944684982299805,0.0981026217341423,0.04301649332046509,0.047321874648332596,0.020483219996094704,0.0044322446919977665,0.021041899919509888,0.0237481240183115,0.0002450331812724471,0.001041137264110148,0.011834611184895039,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,3800,50000,0.0001,-2.9819705486297607,0.4837653338909149,0.4837653338909149,-2.9819705486297607,0.019951989874243736,0.09664573520421982,0.09845869243144989,0.010116406716406345,1.5371309928013943e-05,0.03573455661535263,0.18704180419445038,0.003069488797336817,0.007663095369935036,0.02506818249821663,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,3900,50000,0.0001,-2.992002010345459,0.47373420000076294,0.47373420000076294,-2.992002010345459,0.04158737510442734,0.06646144390106201,0.10329236835241318,0.06910429894924164,1.2066515409969725e-05,0.03363923728466034,0.13520637154579163,0.0030814127530902624,0.0024243334773927927,0.018925286829471588,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,
train,4000,50000,0.0001,-3.176431179046631,0.28930509090423584,0.28930509090423584,-3.176431179046631,0.02621355466544628,0.04777691140770912,0.06312099099159241,0.03580886870622635,2.5124785679508932e-05,0.016284503042697906,0.062118109315633774,0.0028759106062352657,0.0029710778035223484,0.03211002051830292,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
val,4000,50000,,-2.8773341661691667,0.5884017547219992,0.5884017547219992,,,,,,,,,,,,,,,,,,,,,0.957,0.9564179104477611,0.9919504643962849,0.9738601823708207,0.1123870685189132,0.15545508235861052,0.13291617449223073,0.19165014375763761,0.09098814058783623,0.19252932404320158,0.0021852633901424823,0.028912710341664382,0.061648247688547375,0.07940867398437708,0.111302762268682,0.1481524811667386,0.012273313616036261,0.017993979878299086,0.0208742288359363,0.04554286108190771,0.04796456833926517,0.0732623010516843
train,4100,50000,0.0001,-3.1955204010009766,0.2702155113220215,0.2702155113220215,-3.1955204010009766,0.03959023207426071,0.05168645828962326,0.049860090017318726,0.008463416248559952,0.013489493168890476,0.03157658874988556,0.04056771099567413,0.0002543371228966862,0.0012588915415108204,0.033468298614025116,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,4200,50000,0.0001,-3.012507438659668,0.45322850346565247,0.45322850346565247,-3.012507438659668,0.02299712970852852,0.12114033848047256,0.11056087166070938,0.026272987946867943,9.326768122264184e-06,0.0269053652882576,0.10356119275093079,0.002781333401799202,0.006600020453333855,0.03239994868636131,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,4300,50000,0.0001,-2.8412435054779053,0.6244925260543823,0.6244925260543823,-2.8412435054779053,0.19844014942646027,0.13357296586036682,0.090894415974617,0.04218250885605812,0.012035897001624107,0.04642851650714874,0.04744972288608551,0.00013302495062816888,0.004250501748174429,0.04910479485988617,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,4400,50000,0.0001,-3.169015407562256,0.29672080278396606,0.29672080278396606,-3.169015407562256,0.04102925583720207,0.06839290261268616,0.07426174730062485,0.01062563806772232,3.559862761903787e-06,0.02195727825164795,0.06740062683820724,0.004649927373975515,0.0010443396167829633,0.007355535868555307,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
train,4500,50000,0.0001,-2.4682693481445312,0.9974666833877563,0.9974666833877563,-2.4682693481445312,0.06003032624721527,0.05413788557052612,0.070200614631176,0.6598222255706787,8.14809391158633e-06,0.04138524457812309,0.06396861374378204,0.0003109781537204981,0.02963937073945999,0.017963282763957977,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
